Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,2026-01-10 11:29:12,false,"Strength","0.00","613","02:20:56","128","174","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","10","5","1","-13","No","02:20:56","1","--","--","--","--","--","--","--","--","00:45:06","02:21:00","--","--"
Pilates,2026-01-10 10:01:20,false,"Pilates","0.00","415","01:20:18","132","171","2","176","--","--","--","--","0.00","--","--","--","--","0.0","--","--","6","3","1","-12","No","01:20:18","1","--","--","--","--","--","--","--","--","01:20:18","01:20:18","--","--"
Walking,2026-01-07 20:30:47,false,"Sydney Walking","2.91","268","00:50:31","134","162","62","230","17:22","5:14","33","29","0.94","--","--","--","--","0.0","--","--","4,232","--","--","--","No","00:15:16","3","--","--","--","--","--","--","--","--","00:38:13","00:50:31","6","32"
Pilates,2026-01-06 18:40:27,false,"Pilates","0.00","292","00:41:21","142","173","0","83","--","--","--","--","0.00","--","--","--","--","0.0","--","--","8","4","1","--","No","00:41:21","1","--","--","--","--","--","--","--","--","00:41:21","00:41:21","--","--"
Running,2026-01-05 20:01:00,false,"Running","4.24","435","00:40:56","187","197","132","245","9:39","4:35","--","12","0.79","9.8","7.8","359","190","0.0","190","416","5,440","--","--","-6","No","00:03:15.5","5","--","--","--","--","--","--","--","--","00:37:54","00:40:56","121","136"
Pilates,2025-12-27 09:30:26,false,"Pilates","0.00","379","00:47:20","156","189","1","141","--","--","--","--","0.00","--","--","--","--","0.0","--","--","8","4","2","-7","No","00:47:20","1","--","--","--","--","--","--","--","--","00:47:20","00:47:20","--","--"
Treadmill Running,2025-12-26 18:59:30,false,"Treadmill Running","1.89","251","00:25:26","179","188","111","250","13:27","5:23","--","--","0.74","9.6","6.7","339","159","0.0","145","346","2,908","--","--","--","No","00:09:44.8","2","--","--","--","--","--","--","--","--","00:20:53","00:25:38","--","--"
Strength Training,2025-12-18 21:40:33,false,"Strength","0.00","457","01:13:51","140","175","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","1","--","No","01:13:51","1","--","--","--","--","--","--","--","--","01:13:51","01:13:51","--","--"
Strength Training,2025-12-17 20:38:16,false,"Strength","0.00","635","01:32:45","158","193","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","10","5","1","--","No","01:32:45","1","--","--","--","--","--","--","--","--","01:32:45","01:32:45","--","--"
Running,2025-12-16 18:59:21,false,"Sydney Running","1.35","118","00:12:30","174","189","107","247","9:17","1:40","42","37","0.83","8.8","7.2","323","165","0.0","170","372","1,458","--","--","--","No","00:02:55.6","2","--","--","--","--","--","--","--","--","00:10:30","00:12:30","8","29"
Walking,2025-12-09 20:03:49,false,"Sydney Walking","1.86","158","00:24:13","149","168","100","239","13:02","4:58","27","27","0.76","--","--","--","--","0.0","--","--","2,398","--","--","--","No","00:10:39","2","--","--","--","--","--","--","--","--","00:20:11","00:24:20","2","25"
Pilates,2025-12-09 18:34:38,false,"Pilates","0.00","336","00:48:45","142","176","1","140","--","--","--","--","0.00","--","--","--","--","0.0","--","--","8","4","1","--","No","00:48:45","1","--","--","--","--","--","--","--","--","00:48:45","00:48:45","--","--"
Walking,2025-12-08 19:50:49,false,"Sydney Walking","3.33","247","00:35:52","160","179","115","245","10:46","5:27","34","39","0.81","--","--","--","--","0.0","--","--","4,074","--","--","--","No","00:03:27.0","4","--","--","--","--","--","--","--","--","00:34:36","00:35:52","4","22"
Yoga,2025-12-08 18:29:02,false,"Yoga","--","424","00:54:00","159","190","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","1","--","No","00:54:00","1","15","7","26","-78","98","20","78","99","00:54:00","00:54:00","--","--"
Pilates,2025-12-03 06:03:55,false,"Pilates","0.00","281","00:45:13","133","164","1","214","--","--","--","--","0.00","--","--","--","--","0.0","--","--","18","9","1","-5","No","00:45:13","1","--","--","--","--","--","--","--","--","00:45:13","00:45:13","--","--"
Pilates,2025-12-02 19:29:55,false,"Pilates","0.00","312","00:51:34","133","165","1","158","--","--","--","--","0.00","--","--","--","--","0.0","--","--","116","58","1","-4","No","00:51:34","1","--","--","--","--","--","--","--","--","00:51:34","00:51:34","--","--"
Pilates,2025-11-30 10:01:29,false,"Pilates","0.00","172","00:22:20","151","173","2","200","--","--","--","--","0.00","--","--","--","--","0.0","--","--","14","7","1","-4","No","00:22:20","1","--","--","--","--","--","--","--","--","00:22:20","00:22:22","--","--"
Pilates,2025-11-25 19:33:21,false,"Pilates","0.00","279","00:51:35","125","160","1","166","--","--","--","--","0.00","--","--","--","--","0.0","--","--","14","7","1","--","No","00:51:35","1","--","--","--","--","--","--","--","--","00:51:35","00:51:35","--","--"
Running,2025-11-24 21:12:26,false,"Sydney Running","3.01","207","00:20:43","183","192","150","158","6:53","3:31","7","7","0.96","9.7","9.3","303","265","0.0","265","546","3,106","--","--","-5","No","00:00:03.3","4","--","--","--","--","--","--","--","--","00:20:33","00:21:20","16","22"
Running,2025-11-22 20:00:52,false,"Sydney Running","2.42","170","00:18:08","178","191","152","159","7:29","4:07","5","2","0.88","10.1","8.8","306","246","0.0","246","448","2,744","--","--","-8","No","00:03:06.4","3","--","--","--","--","--","--","--","--","00:18:02","00:18:08","11","17"
